Issuer Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Nominal,Price,Location,Exchange,Market Currency
NVDA,NVIDIA CORP,Information Technology,Equity,9161474274.54,6.33765,9161474274.54,38862621,235.74,United States,NASDAQ,USD
AAPL,APPLE INC,Information Technology,Equity,7009779428.85,4.84917,7009779428.85,23506185,298.21,United States,NASDAQ,USD
MSFT,MICROSOFT CORP,Information Technology,Equity,4623363808.28,3.19831,4623363808.28,11292196,409.43,United States,NASDAQ,USD
AMZN,AMAZON.COM INC,Consumer Discretionary,Equity,4111720286.06,2.84437,4111720286.06,15387023,267.22,United States,NASDAQ,USD
GOOGL,ALPHABET INC CLASS A,Communication,Equity,3732953811.09,2.58235,3732953811.09,9307487,401.07,United States,NASDAQ,USD
AVGO,BROADCOM INC,Information Technology,Equity,3168038259.75,2.19156,3168038259.75,7203525,439.79,United States,NASDAQ,USD
GOOG,ALPHABET INC CLASS C,Communication,Equity,3090237185.97,2.13774,3090237185.97,7780641,397.17,United States,NASDAQ,USD
META,META PLATFORMS INC CLASS A,Communication,Equity,2154383774.62,1.49034,2154383774.62,3483634,618.43,United States,NASDAQ,USD
TSLA,TESLA INC,Consumer Discretionary,Equity,2004200526.9,1.38645,2004200526.9,4521093,443.3,United States,NASDAQ,USD
MU,MICRON TECHNOLOGY INC,Information Technology,Equity,1384602826.59,0.95783,1384602826.59,1784259,776.01,United States,NASDAQ,USD
JPM,JPMORGAN CHASE & CO,Financials,Equity,1305712768.62,0.90326,1305712768.62,4353682,299.91,United States,New York Stock Exchange Inc.,USD
LLY,ELI LILLY,Health Care,Equity,1288688750.4,0.89148,1288688750.4,1280112,1006.7,United States,New York Stock Exchange Inc.,USD
AMD,ADVANCED MICRO DEVICES INC,Information Technology,Equity,1167955893.3,0.80796,1167955893.3,2597189,449.7,United States,NASDAQ,USD
BRKB,BERKSHIRE HATHAWAY INC CLASS B,Financials,Equity,1062438606.94,0.73497,1062438606.94,2194849,484.06,United States,New York Stock Exchange Inc.,USD
XOM,EXXON MOBIL CORP,Energy,Equity,1037029389.4,0.71739,1037029389.4,6787730,152.78,United States,New York Stock Exchange Inc.,USD
ASML,ASML HOLDING NV,Information Technology,Equity,996348470.43,0.68925,996348470.43,624022,1596.66,Netherlands,Euronext Amsterdam,EUR
WMT,WALMART INC,Consumer Staples,Equity,926476766.94,0.64091,926476766.94,6994389,132.46,United States,NASDAQ,USD
JNJ,JOHNSON & JOHNSON,Health Care,Equity,883833598,0.61141,883833598,3829435,230.8,United States,New York Stock Exchange Inc.,USD
V,VISA INC CLASS A,Financials,Equity,872281786.64,0.60342,872281786.64,2704582,322.52,United States,New York Stock Exchange Inc.,USD
INTC,INTEL CORPORATION CORP,Information Technology,Equity,834274594.45,0.57713,834274594.45,7196365,115.93,United States,NASDAQ,USD
